,URL,Title
10,https://www.indeed.com//rc/clk?jk=f91277576ca850a8&fccid=5d3d0791313880fa&vjs=3,Resource & Funding Developer
11,https://www.indeed.com//company/StaffReady/jobs/SQL-Developer-41192c1e68db7336?fccid=3e9b8e3b90e2ca8d&vjs=3,SQL Developer
12,https://www.indeed.com//rc/clk?jk=bfca671c56ed4f2b&fccid=4bb4a98ffe880354&vjs=3,DSHS IT Application Developer
13,https://www.indeed.com//company/TTFG/jobs/Business-Outlet-Developer-5e46e0c3482893a5?fccid=88f172555cb9a806&vjs=3,Business Outlet Developer
14,https://www.indeed.com//rc/clk?jk=74d69b05a243a3c1&fccid=95e5deb08c53f15c&vjs=3,Web Technology Developer
15,https://www.indeed.com//company/THE-COLUMBIAN-PUBLISHING-COMPANY/jobs/Wordpress-Web-Developer-31925dfed54dbccf?fccid=f538ae0ab95201fc&vjs=3,WordPress Web Developer
16,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DhVAxkc_TxySVbUOs6bxWYWOfhmDTNcVTjFFBAY1FXZ6rmYsZujmIEQke-zlLvTghN3_3WA_XG5RvJVNqyEBbin3j2USXfeQ-1DuWJYmNlHF-HQbbBjo1ANTAJmy8SdJ_-tFdLhc5DFnGNRwS3TvWlzAwSfMCpjnm9M5JoxoQZc2Bl22Xhv75AiJ63Fj7DUF9fbJK9eYWCI9pi5mmiEvDHwhubq_kqGeeZ-32-b5mk-29yRbo1I9Bj_Z60Ty3UCFzgt2DBJZnqtn_pWXV2DIS-J8jj0QWeyVia-R2a0N3-GxqzkgNyTdjkKro76bcP7WB-gDVj9NMdy7Vc2M6WpNgt4anwT7HVDN5oV-GIjaHsae6ega0jGOElwqYgznPk0txLQ_F3qChj2Gls0LA8XDZ__obPYnYWW68gOINqlzii9ZKkzogKI7XWcDLlE9BcrBYQgqnqTK-ecbehxsl__eegWSUGJhHvRsOd9aAd3UbvwGW9TcFvTTnV8B48p3y42sdlu9insJT7mX2-o3U7r9Lt&p=16&fvj=1&vjs=3,Python Developer
17,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DhVAxkc_TxySVbUOs6bxWYWOfhmDTNcVTjFFBAY1FXZ6rmYsZujmIEQke-zlLvTgj-Y1_hoc6q4RcreOfeCVrKzWl4_mRWuE-ZzYYzx1VUZfWxXkZ-3yDJiNvIU9leb9Q15Cyv3oy9Dw9Ukd2fyzVrsYKmVdC1q_CYfkRpuozPEdQz6jKZ5mJNuoylw9KySiqAg5xrO5jElSXUIdLabcpXuA0-87EZnIZ04TWiKBxZwtop1Nd1MKdvFozxHGgCayfgpdZq9SEBTQFYIPpQKEtdbfSCXH_JgRjjLhcrPw6vcnWrZfGT9texun6v49UGDJ8etoDSGAVtfs8nXK5NyJ2YyT0DZ7X1U_pDh7mFSC2rhwjaRrGRJYedywllfmLeLdX-Wpmv9qXroVxnlQaxShMlCFxmZIyoIrw5y2RdOyzFWjAwrGH1a3hTtjnz4ES1vfFiCpDcrm7QR0FqTQhhysnj2btbL1K03ij-W2TJYFOC6gScwGFQco6pM7toAyKKIcP1yV2yBmn_BYyBg6EkMxB76VBeGjkaX3kHCZS0W6TH_6g7UaZrgrHmqXopwov1i7M=&p=17&fvj=1&vjs=3,Back End Developer
18,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0Byyki5fvkMn28--_Z34jKUg9DaEWSkqv1saCznDK7IClrxv8quRYZwdzXb5MORXZR6DN_Z7pUu6oWgRsNsJtXT2cBoVetBzHODLvbBeynRZPwhUsJUPXWJvPo95jv2yFLezS7PkM3Ap7aKTUFV8OmZ33jtXkHCU1z_NYZW-bGYv799E1a9UgsqyUsNOcNdROfxct6nsNz54NrneYdi7oXglJ53iE7j7sKhQUpqayueif13c40C9Qr33j7h39cVb0UGNHoZnP8Gpd0F7VAVomNAELb5qi3lLYT7quUExW_D_OkSpu2xbf0zWj_AlVd63eG63gHYMuFljYZEi3Fc-czUTX_Cqj1Eo8Sdk37NAgd_iDTf7AHJyEOPDqXJbme-cs3lh4TxSTOCuajR46D-x9du0JT8-DaqWB4=&p=0&fvj=1&vjs=3,CNC Programmer
19,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0AItYn_q2TjBnbiOeYxsMUdAmpOiWrFlcSLxVE3b3NyFGBhgH4chHTEoPfvH0Mho-N8IxFgMOnkAtOZqvzRK6QaS-CuC-ndUXDj2WyV7dOdvPpRycyiDHpP8sSzLuP5aSdwSFN3-d6vPBlqjBUibFUGDeld6FTKCts4UAU1kyxm1lImX3-3d0uDGKSIYfwFEy-MQIgiGZbRrwlkl-OdXUiXOyYSSytRFGBebQdkdwP3kcWR7nByfJzD_-cV8PhXmczl-u9uvO4qa_yomqtCt4ETjsVxxf1yLXhFFNa2-eBOpbaGFhpGp8DLE4heKFPVtHihNGFV7NUaJbDkaAZON6UbXCkH_RWf-FN2BnzV4ENCgVuFd0O-bGjGChC1QEGCqP-cibR0lmcidV_vohX6DVb8b6AC4zDBCTI=&p=1&fvj=1&vjs=3,Office Assistant
